文件名,流派,平均亮度,平均饱和度,RMS对比度,颜色丰富度,鲜明度,区域平衡度,梯度平滑度,GLCM对比度,GLCM相关性,GLCM能量,GLCM同质性
1 (9).tif,印象主义,84.814,8.3206,0.0929,29.3897,35.9351,6.3007,2.9944,0.2035,0.9246,0.5593,0.9158
1 (90).tif,印象主义,78.2773,10.3298,0.1156,60.8042,29.7556,5.224,3.4688,0.3047,0.9228,0.3461,0.871
1 (95).tif,印象主义,84.7997,11.3027,0.1448,100.0547,37.5504,5.033,11.1659,0.7449,0.8905,0.3994,0.7911
1 (98).tif,印象主义,90.1646,9.8882,0.071,91.9535,41.8631,5.4125,3.4988,0.2303,0.8805,0.6296,0.9123
1 (100).tif,现实主义,68.0705,38.8881,0.219,66.3182,36.9008,7.9348,28.3526,2.3348,0.77,0.179,0.6055
1 (101).tif,现实主义,66.1919,33.3921,0.1891,73.7363,30.0279,11.7971,16.4701,1.5379,0.787,0.2027,0.6534
1 (102).tif,现实主义,72.3461,28.6808,0.1908,66.3053,33.7459,7.1348,21.0968,1.5042,0.8296,0.2051,0.6881
1 (104).tif,现实主义,82.7973,20.0359,0.173,48.1843,38.8914,16.0693,4.5067,0.2828,0.9709,0.4952,0.9001
1 (105).tif,现实主义,69.1389,23.0603,0.1887,55.5032,27.4599,8.3248,14.3424,1.2134,0.8452,0.2146,0.6939
1 (106).tif,现实主义,76.1472,26.9644,0.1229,66.6797,34.8886,7.9526,9.6025,0.8325,0.7969,0.297,0.7481
1 (107).tif,现实主义,61.1084,34.6452,0.2424,61.5105,28.5822,8.7785,19.5915,1.7966,0.8213,0.1795,0.6319
1 (109).tif,现实主义,67.7164,30.189,0.2391,74.2258,31.7964,12.5774,17.1426,1.4079,0.883,0.184,0.6752
1 (11).tif,现实主义,87.6297,3.8139,0.1823,3.0283,38.321,13.9844,5.8399,0.2483,0.9779,0.6902,0.9327
1 (110).tif,现实主义,70.6795,30.6485,0.1905,56.6685,33.2174,6.1847,21.7683,1.948,0.766,0.1907,0.6264
1 (111).tif,现实主义,73.2832,30.5348,0.1371,86.8673,34.0749,6.7311,13.3093,1.2911,0.7266,0.2362,0.6706
